" ID" ;" FIRE003" ;" Municiplaity" ;" Barrie" ;" Year" ;" 2008" ;" Data" ;" " 
" ID" ;" FIRE003" ;" Municiplaity" ;" Barrie" ;" Year" ;" 2009" ;" Data" ;" 50123" 
" ID" ;" FIRE003" ;" Municiplaity" ;" Barrie" ;" Year" ;" 2010" ;" Data" ;" 51295" 
" ID" ;" FIRE003" ;" Municiplaity" ;" Barrie" ;" Year" ;" 2011" ;" Data" ;" 52200" 
" ID" ;" FIRE003" ;" Municiplaity" ;" Calgary" ;" Year" ;" 2008" ;" Data" ;" " 
" ID" ;" FIRE003" ;" Municiplaity" ;" Calgary" ;" Year" ;" 2009" ;" Data" ;" " 
" ID" ;" FIRE003" ;" Municiplaity" ;" Calgary" ;" Year" ;" 2010" ;" Data" ;" 414185" 
" ID" ;" FIRE003" ;" Municiplaity" ;" Calgary" ;" Year" ;" 2011" ;" Data" ;" 422290" 
" ID" ;" FIRE003" ;" Municiplaity" ;" Hamilton" ;" Year" ;" 2008" ;" Data" ;" 203643" 
" ID" ;" FIRE003" ;" Municiplaity" ;" Hamilton" ;" Year" ;" 2009" ;" Data" ;" 207667" 
" ID" ;" FIRE003" ;" Municiplaity" ;" Hamilton" ;" Year" ;" 2010" ;" Data" ;" 209965" 
" ID" ;" FIRE003" ;" Municiplaity" ;" Hamilton" ;" Year" ;" 2011" ;" Data" ;" 212262" 
" ID" ;" FIRE003" ;" Municiplaity" ;" London" ;" Year" ;" 2008" ;" Data" ;" 159393" 
" ID" ;" FIRE003" ;" Municiplaity" ;" London" ;" Year" ;" 2009" ;" Data" ;" 162819" 
" ID" ;" FIRE003" ;" Municiplaity" ;" London" ;" Year" ;" 2010" ;" Data" ;" 164945" 
" ID" ;" FIRE003" ;" Municiplaity" ;" London" ;" Year" ;" 2011" ;" Data" ;" 167570" 
